Filename,Timestamp,Count of Audible Words,Words Out of Order,Longest Consecutive Count
09-30-2021 01-46-55.wav,2021-09-30T01:46:55,4,False,4
09-30-2021 01-21-19.wav,2021-09-30T01:21:19,0,False,0
09-30-2021 02-06-55.wav,2021-09-30T02:06:55,0,False,0
09-30-2021 00-31-43.wav,2021-09-30T00:31:43,0,False,0
09-30-2021 01-54-55.wav,2021-09-30T01:54:55,10,False,10
09-30-2021 02-18-55.wav,2021-09-30T02:18:55,0,False,0
09-30-2021 01-33-19.wav,2021-09-30T01:33:19,0,False,0
09-30-2021 02-30-55.wav,2021-09-30T02:30:55,0,False,0
09-29-2021 23-50-07.wav,2021-09-29T23:50:07,10,False,10
09-30-2021 00-07-43.wav,2021-09-30T00:07:43,10,False,10
09-30-2021 02-57-19.wav,2021-09-30T02:57:19,0,False,0
09-30-2021 00-19-43.wav,2021-09-30T00:19:43,10,False,10
09-30-2021 02-49-19.wav,2021-09-30T02:49:19,10,False,10
09-30-2021 01-05-19.wav,2021-09-30T01:05:19,0,False,0
09-30-2021 02-22-55.wav,2021-09-30T02:22:55,10,False,10
09-30-2021 01-09-19.wav,2021-09-30T01:09:19,0,False,0
09-30-2021 02-45-19.wav,2021-09-30T02:45:19,10,False,10
09-30-2021 00-15-43.wav,2021-09-30T00:15:43,10,False,10
09-30-2021 01-17-19.wav,2021-09-30T01:17:19,10,False,10
